"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9733","SG","Randy","Foye","12.4","33","3700","DEN@GS","DEN","GS","","","",""
"16196","PF","Dwight","Powell","17.1","32","3700","NO@DAL","DAL","NO","","","",""
"9920","PF","Anthony","Tolliver","11.6","32","3700","DET@IND","DET","IND","","","",""
"9935","C","Brandan","Wright","14.1","7","3700","MEM@UTA","MEM","UTA","O","Knee","",""
"9471","PF","Boris","Diaw","13.9","34","3700","HOU@SA","SA","HOU","","","",""
"41594","PF","Aaron","Gordon","16.3","32","3700","ORL@CLE","ORL","CLE","","","",""
"18393","PG","T.J.","McConnell","19","35","3700","PHI@LAC","PHI","LAC","","","",""
"15592","PG","Austin","Rivers","12.5","31","3700","PHI@LAC","LAC","PHI","","","",""
"17747","SG","Ian","Clark","7.3","27","3700","DEN@GS","GS","DEN","","","",""
"58253","PF","Myles","Turner","13.1","10","3600","DET@IND","IND","DET","","","",""
"9955","SG","Marcus","Thornton","17.2","29","3600","HOU@SA","HOU","SA","","","",""
"9968","SG","Jodie","Meeks","1.7","2","3600","DET@IND","DET","IND","O","Foot","",""
"9458","SG","Tony","Allen","13.8","29","3600","MEM@UTA","MEM","UTA","","","",""
"48567","PG","Cameron","Payne","7.1","17","3600","OKC@CHA","OKC","CHA","","","",""
"9525","PG","C.J.","Watson","13.1","8","3600","ORL@CLE","ORL","CLE","O","Calf","",""
"12344","PG","Greivis","Vasquez","15.6","16","3600","MIL@MIN","MIL","MIN","O","Ankle","",""
"9613","SG","Devin","Harris","14.4","28","3600","NO@DAL","DAL","NO","GTD","Back","",""
"9683","PG","Steve","Blake","10.9","27","3600","DET@IND","DET","IND","","","",""
"23717","SF","Shabazz","Muhammad","11.7","33","3600","MIL@MIN","MIN","MIL","","","",""
"58461","PF","Trey","Lyles","8.2","29","3600","MEM@UTA","UTA","MEM","","","",""
"15782","PG","Russ","Smith","3.7","15","3500","MEM@UTA","MEM","UTA","","","",""
"59318","SF","Joe","Ingles","7.8","30","3500","MEM@UTA","UTA","MEM","","","",""
"15792","C","Johnny","O'Bryant","9.1","31","3500","MIL@MIN","MIL","MIN","","","",""
"9785","SF","James","Jones","6.1","27","3500","ORL@CLE","CLE","ORL","","","",""
"20907","C","Shayne","Whittington","3.1","2","3500","DET@IND","IND","DET","","","",""
"63123","SF","Mario","Hezonja","7.1","30","3500","ORL@CLE","ORL","CLE","","","",""
